Tue,Mar,Schedule; Shift Pickup
Tuesday,Martes,"Settings, the Company tab, the day a pay period starts"
Type,Tipo,"Schedule, Time off; Schedule, a time off request; HR Records, Training; Staff Management, the printed profile report; Staff Management, Add Certification; Settings, Site Lookups; Forms, Settings, the sync log, a column; Forms, Aliases, adding an alias and a column"
Type a message,Escriba un mensaje,"Messages, the box a message is written in"
Type {0} here,Escriba {0} aquí,"Sites, deleting a site"
Type {0} to confirm,Escriba {0} para confirmar,"Sites, deleting a site"
Type {0} to confirm.,Escriba {0} para confirmar.,"Sites, deleting a site"
Typical run time is 1 to 5 minutes depending on volume. Do not close this page while it runs. You can monitor progress in the Sync Log table below after it completes.,Suele tardar de 1 a 5 minutos según el volumen. No cierre esta página mientras se ejecuta. Puede seguir el avance en la tabla del registro de sincronizaciones cuando termine.,"Forms, Settings, the full refresh window"
URGENT,URGENTE,Shift Pickup
Unable to Resolve,No se pudo resolver,"Issue Tracker and Assigned Tasks, the activity in the window; Assigned Tasks, the state filter"
Unassigned,Sin asignar,"Schedule; Shift Pickup; Assigned Tasks, the task window; Inspections, Scheduled; Inspections, scheduling or editing an inspection"
Uncategorized,Sin categoría,"HR Records, a record's category"
Unfinished,Sin terminar,"Forms, Filed forms, the switch and a report's badge"
Unfinished reports,Informes sin terminar,Help
Unheld,Sin responsable,"Cases, the list, a case nobody holds"
Unit,Unidad,"Inventory, editing a supply"
Unit *,Unidad *,"Inventory, adding a supply"
Unit Cost,Costo unitario,"Vendors, linking a supply"
Unknown,Desconocido,"Sites, Chat, a message with no sender; Sites, the printed chat history, a sender with no name; Forms, a submission's window, a submission with no name"
Unlink,Desvincular,"Service Catalog, a service; Vendors, a vendor; Forms, a submission's window"
Unlinked,Desvinculado,"Forms, a submission's window, a toast"
Unlinked only,Solo sin vincular,"Forms, Submissions, a filter"
Unmatched,Sin asociar,"Forms, Submissions, a submission with nobody matched; Forms, a submission's window"
Unmatched: {0},Sin coincidencia: {0},"Forms, Submissions, the toast after the PDF backfill and the bulk upload"
Unresolved Failures,Fallos sin resolver,"Forms, Sync Diagnostic, a tile"
Unresolved Submission Failures,Fallos de envío sin resolver,"Forms, Sync Diagnostic"
Unspecified,Sin especificar,"Staff Management, the Profile tab, the form, an employment type; Staff Management, Add New Staff; Staff Management, Edit Staff Info"
Until,Hasta,Schedule
Upcoming,Próximos,"Schedule, Patterns"
Upcoming Shifts (Next 7 Days),Próximos turnos (siguientes 7 días),"Sites, Shifts & Schedule"
Updated,Actualizado,"Issue Tracker, after an issue's state is changed; Staff Management, a person's profile; Settings, Site Lookups"
Updated the case,Actualizó el caso,"Cases, a case's window, the access log"
Upload File,Subir un archivo,"HR Records, adding a document"
Upload Logo,Subir logotipo,"Settings, the Company tab"
"Upload a photo or video (up to 50MB), or paste a YouTube link above","Suba una foto o un video (hasta 50 MB), o pegue arriba un enlace de YouTube","Assigned Tasks, creating a task; Sites, adding or editing a task"
Upload failed,No se pudo subir el archivo,"Assigned Tasks, creating a task; Help, a photo that did not upload; Any page, an upload the API refused without a reason; Sites, adding or editing a task"
Upload failed ({0}): {1},No se pudo subir el archivo ({0}): {1},"HR Records, adding a document"
Upload failed with status {0},La subida falló con el estado {0},"Forms, Submissions, the bulk upload"
Upload failed: {0},No se pudo subir el archivo: {0},"Sites, General Info"
Uploaded,Archivo subido,"Assigned Tasks, creating a task; Sites, adding or editing a task"
Uploaded By,Subido por,"HR Records, Documents and Other"
Uploaded: {0},Subidos: {0},"Forms, Submissions, the toast after the bulk upload"
Uploading...,Subiendo...,"Assigned Tasks, creating a task; Help, a photo on its way; Sites; Settings, the Company tab; Forms, Submissions, while PDFs upload"
Urgency,Urgencia,Shift Pickup
Urgent,Urgente,Shift Pickup
Usage events,Registros de uso,"Reports, the supply report and its printed page"
Use company branding on export,Usar la marca de la empresa al exportar,"Reports, adding or editing a report"
Use this as a reference. Change what one person may do under By person.,Úselo como referencia. Lo que una persona puede hacer se cambia en Por persona.,"Settings, Roles and Permissions, the role reference"
"Use this only when you have a specific reason, such as: you have made changes in Jotform that are not appearing here, the field-extraction logic has changed, or you suspect the cache is out of sync. For normal daily operations, the regular ""Sync All Submissions"" button is sufficient.","Úsela solo con un motivo concreto, por ejemplo: hizo cambios en Jotform que no aparecen aquí, cambió la lógica de extracción de campos, o sospecha que la copia local está desactualizada. Para el trabajo diario basta con el botón ""Sincronizar todos los envíos"".","Forms, Settings, the full refresh window"
"Used by Speak Up. People only, never outside addresses. Nothing uses this until the Speak Up update.","Lo usa Confianza. Solo personas, nunca direcciones externas. Nada lo usa hasta la actualización de Confianza.","Settings, Who gets told"
User,Persona,"Forms, PDF Access Log, a column; Forms, Aliases, adding an alias"
User {0},Usuario {0},"Settings, Roles and Permissions, by person, a person with no name"
Username,Nombre de usuario,"Forms, Settings"
Valid,Vigente,"HR Records, a record not yet expired"
Value,Valor,"Settings, Site Lookups; Forms, Aliases, a column"
Value (lowercased automatically),Valor (se pasa a minúsculas automáticamente),"Forms, Aliases, adding an alias"
Value (stored),Valor (se guarda),"Settings, Dropdown Options"
Value (stored) *,Valor (se guarda) *,"Settings, Dropdown Options"
Value *,Valor *,"Settings, Site Lookups"
Value added,Valor agregado,"Settings, Dropdown Options"
Value and label required,El valor y el nombre son obligatorios,"Settings, Dropdown Options; Settings, Site Lookups"
Value deleted,Valor eliminado,"Settings, Dropdown Options"
Value updated,Valor actualizado,"Settings, Dropdown Options"
Vendor,Proveedor,"Vendors, the list"
Vendor / W-9,Proveedor / W-9,"HR Records, a record's category"
Vendor Name *,Nombre del proveedor *,"Vendors, adding or editing a vendor"
Vendor Registry,Registro de proveedores,"The shell; Vendors, the page's title"
Vendor added,Proveedor agregado,"Vendors, adding a vendor"
Vendor name required,El nombre del proveedor es obligatorio,"Vendors, adding a vendor"
Vendor removed,Proveedor quitado,"Vendors, a vendor"
Vendor updated,Proveedor actualizado,"Vendors, editing a vendor"
Vendors,Proveedores,The shell
Vendors and services,Proveedores y servicios,"Settings, Roles and Permissions, a capability's name"
"Vendors: create, edit, delete, link","Proveedores: crear, editar, eliminar y vincular","Settings, Roles and Permissions, the role reference"
Vendors: evaluate and export,Proveedores: evaluar y exportar,"Settings, Roles and Permissions, the role reference"
Vendors: view,Proveedores: ver,"Settings, Roles and Permissions, the role reference"
View,Ver,"Sites, General Info; Staff Management, the HR Files tab; Forms, Submissions; Forms, PDF Access Log, a filter and a badge"
View All,Ver todo,"Assigned Tasks, clearing the filters"
View Original PDF,Ver el PDF original,"Forms, a submission's window"
View PDF,Ver el PDF,"HR Records, a folder"
View Site,Ver el sitio web,"Vendors, a vendor's website"
View all,Ver todo,"Dashboard, the link above a chart"
View file,Ver el archivo,"Staff Management, a record's window, a long web address"
View inspection,Ver la inspección,"Inspections, Scheduled and Completed"
View profile,Ver el perfil,"Staff Management, the list, a button's name"
View shift,Ver el turno,Shift Pickup
View site,Ver el sitio,"Sites, the list"
View vendor,Ver el proveedor,"Vendors, the list"
Voluntary Drop,Baja voluntaria,Shift Pickup
Voluntary Drops,Bajas voluntarias,Shift Pickup
Website,Sitio web,"Vendors, a vendor; Vendors, adding or editing a vendor; Settings, the Company tab"
Wed,Mié,Schedule; Shift Pickup
Wednesday,Miércoles,"Settings, the Company tab, the day a pay period starts"
Week,Semana,Schedule
Weekly,Semanal,"Sites, editing a site, Billing; Reports, a trend's bucket"
Weekly Trend,Tendencia semanal,Shift Pickup
Weekly pattern,Patrón semanal,"Schedule, a pattern"
"Welcome back, {0}","Bienvenido de nuevo, {0}","The shell, the top bar"
"Welcome, {0}","Bienvenido, {0}","The shell, the line after a sign-in"
What this does,Qué hace,"Forms, Settings, the full refresh window"
What this report covers,Lo que cubre este informe,"Reports, adding or editing a report, the description"
What was reported,Lo que se informó,"Forms, a filed report"
When,Cuándo,"Forms, PDF Access Log, a column"
"When a submitter's name or email does not exactly match a user record, auto-link falls back to the alias table. Aliases are added in two ways: (a) automatically whenever an admin manually links a submission to a user (source = manual_link), and (b) explicitly in this tab (source = admin_added). The five-tier matching order is: employee ID exact, email exact, email alias, name exact, name alias. Each alias's last_matched_at and match_count show when and how often it has helped.","Cuando el nombre o el correo de un remitente no coincide exactamente con un registro de usuario, la vinculación automática recurre a la tabla de alias. Los alias se agregan de dos formas: (a) automáticamente cada vez que un administrador vincula a mano un envío con una persona (source = manual_link), y (b) de forma explícita en esta pestaña (source = admin_added). El orden de coincidencia, en cinco niveles, es: ID de empleado exacto, correo exacto, alias de correo, nombre exacto, alias de nombre. Los campos last_matched_at y match_count de cada alias muestran cuándo y cuántas veces ha servido.","Forms, Aliases, the note"
"When set, each submission will auto-compute an expiry date.","Si se indica, cada envío calculará su fecha de vencimiento automáticamente.","Forms, editing a form"
When to use this,Cuándo usarla,"Forms, Settings, the full refresh window"
Who attended,Quiénes asistieron,"HR Records, logging training for several people"
Who gets told,Quién recibe avisos,"Settings, the tabs"
Who has no record,Quién no tiene registro,"HR Records, Training, the list of active people with no record of a training"
Work Started,Trabajo iniciado,"Issue Tracker and Assigned Tasks, the activity in the window"
Worked,Trabajados,"Sites, Shifts & Schedule"
Working from the written procedure only right now.,Por ahora trabajo solo con el procedimiento escrito.,"Help, under an answer given without the assistant"
Working...,Procesando...,"Forms, a submission's window, while its PDF is fetched"
Works,Funciona,"Forms, Settings, the diagnostic"
Yes,Sí,"Reports, the supply report's printed page, whether a supply is green certified; Cases, the list; Forms, a filed report, a ticked box; Forms, Sync Diagnostic, the failures"
You can send up to 3 photos with one message.,Puede enviar hasta 3 fotos con un mensaje.,"Help, the camera button once three photos are waiting"
YouTube link attached,Enlace de YouTube adjunto,"Sites, editing a task"
Your account cannot read incident reports.,Su cuenta no puede leer los informes de incidentes.,"Forms, Filed forms, when the API refuses the list"
Your messages,Sus mensajes,"Messages, before a conversation is picked"
ZIP,Código postal,"Vendors, adding or editing a vendor"
Zip,Código postal,"Sites, adding or editing a site; Staff Management, the Profile tab"
Zone,Zona,"Issue Tracker, the issue window; Assigned Tasks, the task window; Sites, editing a task; Inspections, a template, adding a line item; Inspections, Reports; Reports, the inspection report's printed page; Settings, Site Lookups"
Zone *,Zona *,"Assigned Tasks, creating a task; Sites, adding a task"
Zones,Zonas,"Sites, General Info; Settings, Site Lookups"
across {0},de {0},"Forms, Aliases, the count line"
annual,anual,"Sites, General Info, how often a site is billed"
at {0},en {0},"Inventory, Requests, the site a request is for"
biweekly,quincenal,"Sites, General Info, how often a site is billed"
by {0},por {0},"Issue Tracker and Assigned Tasks, the activity, who made the change; HR Records, who gave a training or finished a step; Staff Management, the Timeline tab; Staff Management, a record's window; Forms, a submission's window, who linked it"
clock in,entrada registrada,"Sites, the record window, what happened; Staff Management, a record's printed page"
critical,crítica,"Assigned Tasks, how urgent a task is, which agrees with prioridad; Sites, Service Details, a task's priority"
deleted user,persona eliminada,"Forms, PDF Access Log, an event whose person is gone"
e.g. #24A4F4,p. ej. #24A4F4,"Settings, Dropdown Options"
e.g. 1,p. ej. 1,"Assigned Tasks, creating a task, the floor"
"e.g. 1, 2, B","p. ej. 1, 2, B","Sites, adding or editing a task"
e.g. 365 for annual expiration,p. ej. 365 para vencimiento anual,"Forms, editing a form"
e.g. 95% or Pass,p. ej. 95% o Aprobado,"HR Records, adding a training record"
e.g. All-Purpose Cleaner,p. ej. Limpiador multiusos,"Inventory, adding a supply"
e.g. Clean window blinds in conference room,p. ej. Limpiar las persianas de la sala de reuniones,"Assigned Tasks, creating a task"
e.g. Complete bloodborne pathogens training,p. ej. Completar la capacitación sobre patógenos transmitidos por la sangre,"HR Records, adding an onboarding step"
e.g. Equipment Types,p. ej. Tipos de equipo,"Settings, Dropdown Options"
e.g. Floor Technician,p. ej. Técnico de pisos,"Settings, Dropdown Options"
e.g. General Cleaning Training,p. ej. Capacitación general de limpieza,"HR Records, adding a training record; HR Records, logging training for several people"
e.g. Green Cleaning Fundamentals,p. ej. Fundamentos de limpieza ecológica,"Staff Management, Add Certification, an example name"
"e.g. Green cleaning only, monthly frequency","p. ej. Solo limpieza ecológica, frecuencia mensual","Service Catalog, linking a site"
e.g. Gymnasium,p. ej. Gimnasio,"Settings, Site Lookups"
e.g. High severity weekly,"p. ej. Severidad alta, semanal","Reports, adding or editing a report, the name"
"e.g. ISSA, OSHA","p. ej. ISSA, OSHA","Staff Management, Add Certification, an example of who issues one"
e.g. Main,p. ej. Principal,"Assigned Tasks, creating a task, the building; Sites, adding or editing a task"
e.g. Marcus called out,p. ej. una persona se reportó ausente,Schedule
e.g. Marcus called out sick,p. ej. una persona se reportó enferma,Shift Pickup
e.g. Office Cleaning,p. ej. Limpieza de oficinas,"Service Catalog, adding or editing a service"
e.g. Offices,p. ej. Oficinas,"Assigned Tasks, creating a task, the zone"
e.g. Restrooms,p. ej. Baños,"Sites, adding a task"
e.g. Standard Office Cleaning,p. ej. Limpieza estándar de oficinas,"Inspections, adding a template"
e.g. Toilets scrubbed and sanitized,p. ej. Inodoros tallados y desinfectados,"Inspections, a template, adding a line item"
e.g. Vacuum carpets,p. ej. Aspirar las alfombras,"Sites, adding a task"
"e.g. cleaner, supervisor, admin","p. ej. cleaner, supervisor, admin","Forms, editing a form, the example of a role"
e.g. equipment_types,p. ej. tipos_de_equipo,"Settings, Dropdown Options"
e.g. floor_tech,p. ej. tecnico_de_pisos,"Settings, Dropdown Options"
e.g. {0},p. ej. {0},"HR Records, adding a training record, an example of who gave it; Inventory, adding a supply, an example of a certification; Vendors, adding or editing a vendor, an example vendor and an example certification"
email,correo,"Forms, Aliases, a kind of alias; Forms, a submission's window, the alias recorded"
email alias already mapped to a different user,el alias de correo ya corresponde a otra persona,"Forms, a submission's window, linking it to a person"
email {0},correo {0},"Forms, Submissions, the toast after auto-link, how each match was made"
email-alias {0},alias de correo {0},"Forms, Submissions, the toast after auto-link, how each match was made"
ends next day,termina al día siguiente,"Schedule, Patterns, the hours of a pattern that runs past midnight"
ends {0},termina el {0},"Schedule, Patterns, the pattern window, the end date"
failed,fallido,"Forms, PDF Access Log, an event's badge"
first last as they submitted,nombre apellido tal como lo enviaron,"Forms, Aliases, adding an alias, the example of a name"
general cleaning guidance,una guía general de limpieza,"Help, the line under an answer, a reference it is based on"
generated {0},generado el {0},"Reports, a report's printed page, {0} is the date and time"
high,alta,"Issue Tracker, how serious an issue is, which agrees with gravedad; Assigned Tasks, how urgent a task is, which agrees with prioridad; Sites, Service Details, a task's priority; Inventory, a supply request's urgency"
in progress,en curso,"Issue Tracker, the filter and an incidencia being worked on; Assigned Tasks, a tarea being worked on; HR Records, a folder, a record's status; Inspections, an inspection's status"
issue reported,incidencia reportada,"Sites, the record window, what happened; Staff Management, a record's printed page"
jdoe.personal@gmail.com,jperez.personal@gmail.com,"Forms, Aliases, adding an alias, the example of an email"
logo,logotipo,"Settings, the Company tab, the logo's description for a screen reader"
low,baja,"Issue Tracker, how serious an issue is, which agrees with gravedad; Inventory, a supply request's urgency"
max {0} pts,máx. {0} pts,"Inspections, a template, a line item"
medium,media,"Issue Tracker, how serious an issue is, which agrees with gravedad"
message sent,mensaje enviado,"Sites, the record window, what happened; Staff Management, a record's printed page"
monthly,mensual,"Sites, General Info, how often a site is billed"
n/a,n/d,"Reports, a figure with nothing to measure yet"
name,nombre,"Forms, Aliases, a kind of alias; Forms, a submission's window, the alias recorded"
name alias already mapped to a different user,el alias de nombre ya corresponde a otra persona,"Forms, a submission's window, linking it to a person"
name {0},nombre {0},"Forms, Submissions, the toast after auto-link, how each match was made"
name-alias {0},alias de nombre {0},"Forms, Submissions, the toast after auto-link, how each match was made"
name@email.com,nombre@correo.com,"Staff Management, Add New Staff, an example address"
never,nunca,"Forms, Aliases, an alias that has never matched"
no email,sin correo,"Forms, Aliases, adding an alias, a person with no email"
normal,normal,"Inventory, a supply request's urgency"
note: {0},nota: {0},"HR Records, a folder"
of {0} active,de {0} activos,"Dashboard, under the started tile"
on {0},el {0},"Forms, a submission's window, when it was linked"
pending,pendiente,"Assigned Tasks, a task nobody has started; HR Records, a person's or a record's status; Inventory, a supply request's state; Vendors, a vendor's approval status; Staff Management, the printed profile report; Staff Management, the list"
prompts text input,muestra un cuadro de texto,"Settings, Dropdown Options, a value that asks for text"
quarterly,trimestral,"Sites, General Info, how often a site is billed"
shift created,turno creado,"Sites, the record window, what happened; Staff Management, a record's printed page"
shift deleted,turno eliminado,"Sites, the record window, what happened; Staff Management, a record's printed page"
shift session,sesión de turno,"Sites, the printed timeline, a record's kind; Staff Management, the printed timeline"
shift updated,turno actualizado,"Sites, the record window, what happened; Staff Management, a record's printed page"
site assigned,sitio asignado,"Sites, the record window, what happened; Staff Management, a record's printed page"
site unassigned,sitio desasignado,"Sites, the record window, what happened; Staff Management, a record's printed page"
someone,alguien,"Forms, a filed report, a stamp with no name"
staff site assignment,asignación de sitio,"Staff Management, the printed timeline, a record's kind"
standard,estándar,"Sites, Service Details, a task's priority"
success,correcto,"Forms, PDF Access Log, an event's badge"
supply logged,suministro registrado,"Sites, the record window, what happened; Staff Management, a record's printed page"
supply usage,uso de suministros,"Sites, the printed timeline, a record's kind; Staff Management, the printed timeline"
task completed,tarea completada,"Sites, the record window, what happened; Staff Management, a record's printed page"
the ADP guide,la guía de ADP,"Help, the line under an answer, a guide it is based on"
the app guide,la guía de la aplicación,"Help, the line under an answer, a guide it is based on"
to {0},a {0},"Sites, General Info, the end of the contract dates"
today,hoy,"HR Records, a card's last activity"
unable to resolve,no se pudo resolver,"Assigned Tasks, a task that could not be done"
unknown,desconocido,"Forms, Submissions, a submission with no name"
urgent,urgente,"Assigned Tasks, how urgent a task is; Sites, Service Details, a task's priority; Inventory, a supply request's urgency"
weekly,semanal,"Sites, General Info, how often a site is billed"
weeks,semanas,"Schedule, adding a shift, the word after the number of weeks"
why is this an alias,por qué es un alias,"Forms, Aliases, adding an alias, the notes"
with a link to the app,con un enlace a la aplicación,"Forms, a filed report, once it is sent again"
with the PDF attached,con el PDF adjunto,"Forms, a filed report, once it is sent again"
yesterday,ayer,"HR Records, a card's last activity"
{0} (no dashes needed),{0} (sin guiones),"Staff Management, Add New Staff, an example phone number"
{0} - Activity Timeline,{0} - Historial de actividad,"Staff Management, the printed timeline, its heading"
{0} - Chat History,{0} - Historial del chat,"Sites, the printed chat history, its title"
{0} - Employee Report,{0} - Informe de la persona,"Staff Management, the printed profile report, its window title"
{0} - Site Timeline,{0} - Historial del sitio,"Sites, the printed timeline, its title"
{0} Admin,{0} Administración,The shell
{0} Supervisor,{0} Supervisión,The shell
"{0} added, {1} removed, {2} kept","{0} agregados, {1} quitados, {2} conservados","Schedule, Patterns, the pattern window, the result of a change"
"{0} added, {1} removed, {2} total","{0} agregados, {1} eliminados, {2} en total","Schedule, after a pattern is saved"
"{0} answered, {1} to go","{0} respondidas, {1} pendientes","Forms, a filed report that is not finished"
{0} at {1},{0} en {1},"Schedule, Patterns, the pattern window, the person and the site"
{0} cases need attention,{0} casos necesitan atención,"The shell, the cases warning"
{0} claimed,{0} tomados,"Schedule, Month, the claimed pickups on a day"
{0} claimed with overtime risk,{0} tomados con riesgo de horas extra,"Shift Pickup, Analytics"
{0} claims,{0} tomados,"Shift Pickup, Analytics, how many shifts a person took"
{0} dates were skipped because this person is already scheduled at that time:,Se omitieron {0} fechas porque esta persona ya tiene un turno a esa hora:,"Schedule, after a pattern is saved"
{0} days ago,hace {0} días,"HR Records, a card's last activity"
{0} folders found,{0} carpetas encontradas,"Forms, Settings, the diagnostic"
{0} for {1},{0} para {1},"Settings, Who gets told, a delivery choice's name for a screen reader"
{0} labels returned,{0} etiquetas devueltas,"Forms, Settings, the diagnostic"
{0} new,{0} nuevos,"Forms, the toast after the forms are synced"
{0} of {1},{0} de {1},"Dashboard, the tasks done on a shift; Forms, Filed forms, how many questions are answered"
{0} of {1} answered,{0} de {1} respondidas,"Help, how many questions of a report are answered"
{0} of {1} tasks,{0} de {1} tareas,"Schedule, Week, the tasks done on a shift; Live Operations, the tasks done on a shift"
{0} open,{0} abiertos,"Schedule, Month, the open pickups on a day"
{0} open issues,{0} incidencias abiertas,"Dashboard, the issues tile"
{0} pending,{0} pendientes,"Dashboard, the pending staff button"
{0} purged ({1} submissions removed),{0} depurados ({1} envíos eliminados),"Forms, the toast after the forms are synced"
{0} scheduled,{0} programados,"Schedule, Month, the shifts on a day"
{0} skipped (wrong prefix),{0} omitidos (prefijo incorrecto),"Forms, the toast after the forms are synced"
{0} staff,{0} personas,"Schedule, Week, a choice of how many people to show"
{0} started,{0} iniciados,"Schedule, Month, the shifts someone has started on a day"
{0} to {1},{0} a {1},"Schedule and Shift Pickup, a start time and an end time; Reports, a report's printed page, the date range"
"{0} total, {1} callouts","{0} en total, {1} ausencias","Shift Pickup, Analytics, the counts under a site"
{0} unread notifications,{0} avisos sin leer,"The shell, the bell's label"
{0} updated,{0} actualizados,"Forms, the toast after the forms are synced"
{0}% callouts,{0}% de ausencias,"Shift Pickup, Analytics"
{0}% filled,{0}% cubierto,"Shift Pickup, Analytics"
{0}/{1} filled,{0}/{1} cubiertos,"Shift Pickup, Analytics, the filled count in a bar"
{0}/{1} pts,{0}/{1} pts,"Inspections, a score out of a total"
{0}: {1}% on {2},{0}: {1}% el {2},"Inspections, Reports, a bar of the score trend"
{0}d,{0}d,"The bell, an age in days"
{0}d lead,{0} d de entrega,"Vendors, a vendor, a linked supply's lead time"
{0}h,{0}h,"The bell, an age in hours"
{0}h past,{0} h de retraso,"Cases, the response clock, hours past the 72"
{0}m,{0}m,"The bell, an age in minutes"
{0}w ago,hace {0} sem.,"HR Records, a card's last activity"
Active,Activo,"Schedule, Patterns, a patron that is running"
Active,Activa,"Staff, a persona who is working"
Active,Activos,"Sites, the list, the filter that agrees with sitios"
Active,Activas,"Staff Management, the list, a tab"
Aging,Atrasadas,"Reports, the issue report's printed page, issues open past their resolution target"
All,Todos,"Schedule, Patterns, the filter that agrees with patrones"
All,Todas,"Schedule, Patterns, the person filter, which agrees with personas; Staff Management, the list"
All,Todas,"Schedule, Time off, the filter that agrees with solicitudes"
All,Todos,"Shift Pickup, the filter that agrees with turnos"
All,Todos,"Schedule and Shift Pickup, the site filter, which agrees with sitios; Sites, the list, the filter that agrees with sitios"
All,Todo,"Sites, Timeline, every kind of entry; Staff Management, Timeline, a kind of entry"
All,Todos,"Vendors, the list, the filter that agrees with proveedores"
All,Todas,"Inspections, Scheduled, the filter that agrees with inspecciones"
All,Todos,"Cases, the list, the tab that agrees with casos"
All Areas,Todas las áreas,"Inspections, a line item's zone"
All staff,Todo el personal,"Settings, Roles and Permissions, the role reference, a level of access"
Approved,Aprobada,"Schedule, Time off, a solicitud that was approved"
Approved,Aprobado,"Shift Pickup, a turno that was approved; Shift Pickup, a shift's status"
Approved,Aprobado,"Vendors, adding or editing a vendor, Approval Status, which agrees with proveedor"
Approved,Aprobados,"Vendors, the list, the filter that agrees with proveedores"
Assigned,Asignada,"Issue Tracker, the issue window, an incidencia given to somebody"
Assigned,Asignado,"Schedule, a turno given to somebody"
Assigned,Asignada,"Assigned Tasks, a tarea given to somebody; Assigned Tasks, the task window, the activity"
Assigned,Asignada a,"Inspections, Scheduled and Completed, the person column"
Assigned,Asignados,"Settings, Roles and Permissions, the role reference, a level of access"
Assigned sites,Sitios asignados,"Settings, Roles and Permissions, the role reference, a level of access"
Cancelled,Cancelada,"Schedule, an inspeccion that was cancelled"
Cancelled,Cancelada,"Schedule, Time off, a solicitud the person withdrew"
Cancelled,Cancelado,"Schedule, a turno that was cancelled"
Claimed,Tomado,"Shift Pickup, a turno somebody took"
Closed,Cerrado,"Cases, a caso that is finished; Cases, a case's status"
Closed,Cerrado,"Shift Pickup, a turno that is finished"
Common Areas,Áreas comunes,"Inspections, a line item's zone"
Complete assigned,Completar las asignadas,"Settings, Roles and Permissions, the role reference, a level of access"
Completed,Completada,"Schedule, an inspeccion that is finished"
Completed,Completado,"Schedule, a turno that is finished"
Completed,Completadas,"Inspections, a tab, which agrees with inspecciones"
DOC,DOC,"HR Records, a folder, the short name for a document"
Default,Predeterminado,"Settings, Roles and Permissions, by person, a capability that follows the role"
Deleted,Inspección eliminada,"Inspections, deleting an inspection"
Denied,Denegada,"Schedule, Time off, a solicitud that was denied"
Due soon,Vence pronto,"Cases, the response clock"
Ended,Terminado,"Schedule, Patterns, a patron that has stopped"
Escalated,Escalado,"Cases, a case's status"
Expired,Vencidos,"HR Records, Employees, the filter for expired records"
Expired,Vencido,"HR Records, a record past its expiry date"
Expired,Vencido,"Shift Pickup, a shift's status"
Exterior,Exterior,"Inspections, a line item's zone"
Filled,Cubierto,"Shift Pickup, a shift's status"
General,General,"Inspections, a line item's zone"
In review,En revisión,"Cases, a case's status"
Inactive,Inactivos,"Sites, the list, the filter that agrees with sitios"
Inactive,Inactivo,"Vendors, adding or editing a vendor, Approval Status, which agrees with proveedor"
Inactive,Inactivos,"Vendors, the list, the filter that agrees with proveedores"
Inactive,Inactivas,"Staff Management, the list, a tab"
Invalid,No válida,"Forms, the Jotform line at the top and Settings, the API key"
JF,JF,"HR Records, a folder, the short name for a Jotform form"
Kitchen/Break Room,Cocina / sala de descanso,"Inspections, a line item's zone"
Link,Vincular,"Forms, linking a submission to a record"
Lobby,Vestíbulo,"Inspections, a line item's zone"
Log and request,Registrar y solicitar,"Settings, Roles and Permissions, the role reference, a level of access"
Manage,Administrar,"Settings, Roles and Permissions, the role reference, a level of access"
New,Nueva,"Schedule, a new solicitud"
New,Nuevo,"Schedule, a new turno"
New,Nuevo,"Forms, Submissions, a status"
New,Nuevos,"Forms, Settings, the sync log, a column"
None,Ninguna,"The note that is empty, which agrees with nota"
None,Ninguno,"The site that is not set, which agrees with sitio"
None,Ninguno,"Schedule, Time off, a request that covers no shifts"
None,Ninguna,"Sites, Shifts & Schedule, no inspection yet, which agrees with inspección"
None,Ninguna,"HR Records, Employees, a card with no activity, which agrees with actividad"
None,Sin acceso,"Settings, Roles and Permissions, the role reference, a level of access"
Not set,Sin configurar,"Forms, the Jotform line at the top and Settings, the API key"
ONB,INC,"HR Records, a folder, the short name for an onboarding step"
Off,Desactivar,"Settings, Dropdown Options; Settings, Site Lookups, turning a value off"
Offices,Oficinas,"Inspections, a line item's zone"
On,Activar,"Settings, Dropdown Options; Settings, Site Lookups, turning a value on"
On time,A tiempo,"Cases, the response clock"
Open,Abierta,"Dashboard, an incidencia nobody has closed"
Open,Abierto,"Shift Pickup, a turno nobody has taken"
Open,Abiertas,"Reports, Quick snapshots, issues open, which agrees with incidencias; Reports, the issue report's printed page"
Open,Abierto,"Cases, a case's status"
Other,Otros,"HR Records, the tab for records filed under Other; Reports, the supply report, a chart's legend, supplies without the certification"
Overdue,Atrasado,"Cases, the response clock"
Own tasks,Sus tareas,"Settings, Roles and Permissions, the role reference, a level of access"
Parking,Estacionamiento,"Inspections, a line item's zone"
Pending,Pendientes,"Sites, Shifts & Schedule, pickups not yet worked, which agrees with turnos"
Pending,Pendientes,"Vendors, the list, the filter that agrees with proveedores"
Pending,Pendientes,"Staff Management, the list, a tab"
Probation,A prueba,"Vendors, the list, a filter"
Released,Liberado,"Shift Pickup, a turno somebody gave back"
Removed,Tarea quitada,"Sites, Service Details, once a task is removed"
Removed,Asignación quitada,"Staff Management, the Assignments tab, once it is removed"
Removed,Certificación quitada,"Staff Management, the Certifications tab, once it is removed"
Report,Informar,"Settings, Roles and Permissions, the role reference, a level of access"
Reported,Reportadas,"Reports, the issue report's printed page, issues reported"
Request,Solicitar,"Settings, Roles and Permissions, the role reference, a level of access"
Requested,Solicitada,"Schedule, Time off, a solicitud waiting on a decision"
Resolved,Resueltas,"Reports, Quick snapshots, issues resolved, which agrees with incidencias; Reports, the issue report's printed page"
